cep,localidade,id_municipio,nome_municipio,sigla_uf
04746070,Santo Amaro,3550308,São Paulo,SP
04610003,Campo Belo,3550308,São Paulo,SP
04708030,Santo Amaro,3550308,São Paulo,SP
04747030,Santo Amaro,3550308,São Paulo,SP
04614000,Campo Belo,3550308,São Paulo,SP
04620005,Campo Belo,3550308,São Paulo,SP
04750020,Santo Amaro,3550308,São Paulo,SP
04608020,Campo Belo,3550308,São Paulo,SP
04735030,Santo Amaro,3550308,São Paulo,SP
04607010,Campo Belo,3550308,São Paulo,SP
04747100,Santo Amaro,3550308,São Paulo,SP
04613060,Campo Belo,3550308,São Paulo,SP
04610080,Campo Belo,3550308,São Paulo,SP
04607000,Campo Belo,3550308,São Paulo,SP
04616010,Campo Belo,3550308,São Paulo,SP
04612030,Campo Belo,3550308,São Paulo,SP
04616001,Campo Belo,3550308,São Paulo,SP
04608002,Campo Belo,3550308,São Paulo,SP
04738020,Santo Amaro,3550308,São Paulo,SP
04614001,Campo Belo,3550308,São Paulo,SP
04753070,Santo Amaro,3550308,São Paulo,SP
04710001,Santo Amaro,3550308,São Paulo,SP
04616004,Campo Belo,3550308,São Paulo,SP
04612070,Campo Belo,3550308,São Paulo,SP
04624040,Campo Belo,3550308,São Paulo,SP
04624113,Campo Belo,3550308,São Paulo,SP
04711040,Santo Amaro,3550308,São Paulo,SP
04617012,Campo Belo,3550308,São Paulo,SP
04606000,Campo Belo,3550308,São Paulo,SP
04726220,Santo Amaro,3550308,São Paulo,SP
04621003,Campo Belo,3550308,São Paulo,SP
04747901,Santo Amaro,3550308,São Paulo,SP
04710030,Santo Amaro,3550308,São Paulo,SP
04637070,Campo Belo,3550308,São Paulo,SP
04736020,Santo Amaro,3550308,São Paulo,SP
04609011,Campo Belo,3550308,São Paulo,SP
04606030,Campo Belo,3550308,São Paulo,SP
04625070,Campo Belo,3550308,São Paulo,SP
04755100,Santo Amaro,3550308,São Paulo,SP
04611003,Campo Belo,3550308,São Paulo,SP
04615004,Campo Belo,3550308,São Paulo,SP
04624000,Campo Belo,3550308,São Paulo,SP
04615050,Campo Belo,3550308,São Paulo,SP
04612050,Campo Belo,3550308,São Paulo,SP
04711100,Santo Amaro,3550308,São Paulo,SP
04745050,Santo Amaro,3550308,São Paulo,SP
04358040,Campo Belo,3550308,São Paulo,SP
04662001,Santo Amaro,3550308,São Paulo,SP
04614020,Campo Belo,3550308,São Paulo,SP
04728080,Santo Amaro,3550308,São Paulo,SP
04627004,Campo Belo,3550308,São Paulo,SP
04605004,Campo Belo,3550308,São Paulo,SP
04757020,Santo Amaro,3550308,São Paulo,SP
